NUMBER,Genus,SPECIES,SUBSPECIES,MORPHOTYPE,HERBARIUM,COLLECTOR,COLNUMBER,COUNTRY,LATITUDE,DLATITUDE,LONGITUDE,DLONGITUDE,ELEVATION,PLHEIGHT,STEMHEIGHT,STEMDIAMETER,INTERNODE,LEAFNUMBER,SHEATH,PETIOLE,RACHISLEN,RACHISWID,NODIVISIONS,BASPINLEN,BASPINWID,BASPINANG,APINLEN,APINWID,APINANG,ORDERS,PROPHYLL,PEDBRACT,DISTANCE,PEDUNCLELEN,PEDUNCLEWID,NORACHILLAE,RACHILLLEN,RACHILLWID,FRUITLEN,FRUITDIAM,STEMBRANCH,INTERNOD,INTERCOLOR,LEAFDIVI,PLICATE,BLADEBASE,PETCOLOR,VEINADAX,VENATION,INFLOBRAN,BRACTS,PROPHYLLS,PROSURFACE,RIDGED,PEDUNCBRACT,RACHSURFACE,RACHRUGOS,RACHNARROW,PITARRANG,PITINSIDE,PROXLIP,PROXRECURV,HOOD,LIPCOLOR,LIPSCUPUL,DISTALIP,PETALS,STAMFLS,STAMENNO,CONNECT,ANTHERS,GYNO,PISTFLS,STAMTUBES,STAMTUBPER,STIPITATE,CONICAL,SPLITTING,SPINY,BUMPY,OPERC,SCULPT,PORES
5,Geonoma,calyptrogynoidea,,,NY,"Bernal, R.",659,Colombia,6.15,6.25,76.3,-76.5,80,,3,,,14,,,119,6.4,,82.5,22.5,23,43,33,25,,25.5,,,,,,,,,,2,,,,1,1,2,1,2,,2,2,1,2,,2,1,2,2,2,2,1,2,1,1,2,2,,2,1,1,,,1,,,,,,,,,
129,Geonoma,calyptrogynoidea,,,COL,"Bernal, R.",2142,Colombia,7.06,7.1,77.48,-77.8,50,,3,,,8,,,64.5,5.1,4,42,11.5,31,29.5,16,33,1,19.7,26.5,1.8,33.5,4.5,3,21.8,5,,,2,,,2,1,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,,,,,,,,,,,,,,,
106,Geonoma,calyptrogynoidea,,,AAU,"Borchsenius, F.",343,Ecuador,1.04,1.06,78.39,-78.65,300,,4,2.2,3.1,11,19.5,,48,7.2,1,,,42,17.5,,32,1,,,,42,5.3,5,14.5,5.5,13.4,10.5,,2,1,1,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,1,2,2,,
107,Geonoma,calyptrogynoidea,,,AAU,"Borchsenius, F.",348,Ecuador,1.07,1.11,78.42,-78.7,200,,3,2.01,2.6,,30,22,97,5.2,3,73,32,25,,23.5,25,1,,,,,5.9,3,15.5,5.5,12,8.3,2,2,1,2,1,1,2,1,2,2,2,2,1,2,,2,1,2,2,2,2,1,2,1,1,2,,,,,,,1,1,1,1,2,1,1,2,2,,
122,Geonoma,calyptrogynoidea,,,MO,"Brand, J.",520,Colombia,7.39,7.65,76.57,-76.95,20,3,,,,,43.5,41.7,,6.8,,,,,,,,1,,,,,9.4,7,26.7,6.8,,,1,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,,,,,,,,
121,Geonoma,calyptrogynoidea,,,MO,"Cárdenas, D. ",469,Colombia,7.3,7.5,76.5,-76.83,520,2,,,,,,,,9.1,,,,15,,,,1,28.2,,,,,,,,,,1,,,,1,1,2,1,2,2,2,2,1,2,,2,1,2,2,2,2,1,2,1,1,2,2,,2,1,1,,,1,,,,,,,,,
108,Geonoma,calyptrogynoidea,,,MO,"Cárdenas, D. ",668,Colombia,7.3,7.5,76.5,-76.83,15,,3,,,,,,,8.5,8,77,24.5,28,,28.5,31,1,21.2,,,60.4,7.8,7,18.5,5.5,15.5,11.1,2,,,2,1,1,2,1,2,2,2,2,1,2,,2,1,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,1,2,2,,
119,Geonoma,calyptrogynoidea,,,MO,"Cárdenas, D. ",771,Colombia,7.3,7.5,76.5,-76.83,300,4,,,,,,,,8.4,,56,18.5,37,,,30,1,,,,,,,,7.9,,,1,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
101,Geonoma,calyptrogynoidea,,,BH,"Cuartrecasas, J.",15772,Colombia,3.25,3.41,77.15,-77.25,27,,,,,,,19,89,9.3,1,,,24,42,,26,1,,25.3,4.8,54,7.3,5,20,4.6,,,,,,1,1,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,,2,1,1,,,1,,,,,,,,,
111,Geonoma,calyptrogynoidea,,,MO,"de Nevers, G.",8305,Panama,8.02,8.03,77.24,-77.4,450,,2,,,,,,71.8,4.7,3,75,27.5,32,40.7,22,29,1,22.6,25,,,,4,18.5,4.9,,,1,,,2,1,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,,2,1,1,,,1,,,,,,,,,
114,Geonoma,calyptrogynoidea,,,MO,"de Nevers, G.",8319,Panama,8.03,8.05,77.2,-77.33,525,3,,,,15,29.5,48.5,85,,,,,,,14.3,34,1,24.1,27,1.6,41.3,7.3,7,21.7,7.4,,,,,,,1,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,,,,,,,,
3,Geonoma,calyptrogynoidea,,,K,"Dransfield, J.",4863,Colombia,7.14,7.24,76.26,-76.43,100,,4,,,10,31,45,,8.4,6,,,26,,20.4,35,1,25.5,30,2.4,48,8.5,6,26,8.1,12.6,9.6,2,,,2,1,1,2,1,2,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,2,,
113,Geonoma,calyptrogynoidea,,,MO,"Duke, J.",13598,Panama,7.35,7.58,77.5,-77.83,,,,,,,,,,6.2,,,,30,,,,1,,,,,10.3,6,20.5,6.7,15.3,10.5,,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,1,2,2,,
115,Geonoma,calyptrogynoidea,,,U,"Fuchs, H.",21994,Colombia,5,5,77.15,-77.25,,,1.5,,,,26.5,,,,,,,,,,,1,21,24,2.8,41,8.7,4,22.5,5.8,,,,,,,1,1,2,1,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Geonoma,calyptrogynoidea,,,MO,"Gentry, A.",57334,Colombia,8.2,8.33,74.55,-74.91,95,3,,,,,,,,7.7,,,,29,,,,1,,,,,,,,,,,,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
117,Geonoma,calyptrogynoidea,,,MO,"Hahn, W.",293,Panama,7.3,7.5,78.1,-78.16,350,5,,,,,,,,6.1,,,13,32,,,,1,,,,,5.4,6,15.5,5.1,,,,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,,,,,,,,,,,
109,Geonoma,calyptrogynoidea,,,MO,"Hartman, R.",12113,Panama,7.41,7.68,77.5,-77.83,,4,,,,,,,,5.8,,,29,28,,,,1,,,,,7.2,4,24.7,7.3,12.3,8.7,,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,1,2,2,1,2
89,Geonoma,calyptrogynoidea,,,US,"Haught, O.",1850,Colombia,6.29,6.48,74.24,-74.4,400,5,,,,,,,,,,,,,,,,1,,,,,7.6,8,34,6.4,,,,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,2,,2,1,1,,,1,,,,,,,,,
123,Geonoma,calyptrogynoidea,,,MO,"Juncosa, A.",1251,Colombia,5.12,5.2,76.37,-76.61,45,,2,,,,,,,7.3,,,,,,,,1,,,,,9.6,6,21.6,6.1,,,,,,,1,1,2,1,2,2,2,2,1,2,,2,1,2,2,2,2,1,2,1,1,2,2,,2,1,1,,,,,,,,,,,,
124,Geonoma,calyptrogynoidea,,,MO,"Juncosa, A.",1723,Colombia,6.16,6.26,77.21,-77.35,35,3,,,,,,,,6.8,,56.5,14.2,23,,,,1,,,,,8.9,5,28.5,7,12.6,10.4,,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,1,2,2,,
88,Geonoma,calyptrogynoidea,,,US,"Killip, E.",33623,Colombia,6.13,6.21,77.24,-77.4,30,,2.3,,,,,,,5.8,,,,20,,,,1,,,,,7.7,3,16.2,6,,,,,,,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Geonoma,calyptrogynoidea,,,NY,"Kirkbride, J.",1349,Panama,8,8,77.45,-77.75,,,,,,,,,,6.5,,,,,,,,1,,,,,5.9,4,,5.1,,,1,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
2,Geonoma,calyptrogynoidea,,,K,"Knapp, S.",3103,Panama,7.26,7.43,78.05,-78.08,400,3,,,,,,,96.5,5.1,3,,12.3,30,,23.5,,1,,,,,5.2,4,18.5,5.2,,,,,,2,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,,,,,,,,
130,Geonoma,calyptrogynoidea,,,COL,"La Rotta, C.",594,Colombia,5.3,5.5,77,-77,280,3,,,,,,,,,,,,,46,33,26,1,,,,,,,,5.2,13.8,10.8,,,,2,1,,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,,,,,,1,1,1,1,2,1,1,2,2,,
112,Geonoma,calyptrogynoidea,,,MO,"Monsalve, M.",350,Colombia,3.55,3.91,77,-77,100,2.5,,,,,,,,5.8,,,,27,33.5,22.2,28,1,,,,,8.3,4,26.5,6.7,,,,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,2,,2,1,1,,,1,,,,,,,,,
103,Geonoma,calyptrogynoidea,,,BH,"Moore, H.",9472,Colombia,3.53,3.89,77.04,-77.06,,,,,,,,,62.5,6.9,1,,,20,27,,28,,,,,,,,,,,,1,,,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Geonoma,calyptrogynoidea,,,BH,"Moore, H.",9875,Colombia,6.49,6.9,77.42,-77.69,,,,,,,,,95,9,4,,40.5,20,,,,1,17,21.5,1.4,37,6.3,4,21.5,6.7,,,1,,1,2,1,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,,,,,,,,
128,Geonoma,calyptrogynoidea,,,COL,"Navas, A.",514,Colombia,6.01,6.01,74.11,-74.18,471,3,,,,,,,,9.9,,,,34,46,28,26,1,,,,,9.7,9,23,6.2,,,,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,,,,,,1,1,1,,,,,,,,
6,Geonoma,calyptrogynoidea,,,AAU,"Rubio, D.",1146,Ecuador,1.02,1.03,78.26,-78.43,250,2,,,,,,,74,5.7,1,,,20,,,22,1,,,,,5.1,5,16,4.7,12.6,10.1,,,,1,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,1,2,2,,
127,Geonoma,calyptrogynoidea,,,F,"Soejarto, D.",3433,Colombia,7.19,7.31,75.03,-75.05,550,4,,,,,,,,,,,,,,,,1,,,,,6.7,,28,7.4,,,,,,,1,1,2,1,2,2,,,,,1,2,1,2,2,2,2,1,2,1,1,2,,,,,,,1,1,1,,,,,,,,
116,Geonoma,calyptrogynoidea,,,MO,"Whitefoord, C,",417,Panama,,,,,,,,,,,,,,6.9,,,,,,,,1,,,,,5.4,,,8.3,13.5,10.4,,,,,1,1,2,1,2,2,,,,,,2,1,2,2,2,2,1,2,1,1,2,,2,,,,2,1,1,1,1,2,1,1,2,2,,
43,Geonoma,camana,,,NY,"Baker, M.",7018,Ecuador,0.2,-0.33,76.5,-76.83,280,,0.2,,,,,,67,4.8,17,18.5,1.3,93,8.5,12,50,0,,,,23.7,2.5,1,16,4.1,,,,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,2,2,1,2,2,2,,
39,Geonoma,camana,,,NY,"Balick, M.",1137,Peru,3.05,-3.08,71.55,-71.91,,2,,2.78,0.6,8,15,96,93,,25,,,,16.5,6,48,0,,,,51.5,5.7,1,30.5,7.7,,,,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,,,,,,,,,
35,Geonoma,camana,,,NY,"Balslev, H.",4624,Ecuador,0.3,-0.5,77.18,-77.3,300,,0.1,,,8,,,46.5,3.2,22,,0.6,,7.5,8,52,,,,,,,,,,,,,,,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Geonoma,camana,,,AAU,"Balslev, H.",6553,Peru,3.45,-3.75,76.26,-76.43,180,,,,,5,,24,76,4.6,19,22.5,0.6,61,14.4,10,55,0,,,2.2,54,3,1,18,4.1,9,6,,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,2,2,1,2,2,2,,
38,Geonoma,camana,,,NY,"Balslev, H.",62216,Ecuador,2.25,-2.41,77.3,-77.5,400,,,,,11,,,46,,9,21.5,3,70,11,4.5,45,,,,,,,,,,,,,,,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Geonoma,camana,,,AAU,"Bergmann, B.",62163,Ecuador,0.18,-0.3,76.43,-76.71,250,1.5,0.2,,,13,20,31,74,4.5,24,13.4,0.6,95,12.8,6.1,52,0,,,,25.5,2.8,1,17.5,4.9,,,1,,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,2,2,1,2,2,2,,
324,Geonoma,camana,,,AAU,"Bergmann, B.",62593,Ecuador,0.28,-0.46,76.47,-76.78,300,1.15,,,,10,18,34,61,3.7,18,18,1.4,60,,,,0,,,,29,2.6,1,10.5,2.8,8.7,6.9,1,,,2,1,1,2,2,2,1,1,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,2,2,2,2,1,2,2,2,,
20,Geonoma,camana,,,NY,"Bergmann, B.",67212,Ecuador,0.57,-0.95,76.13,-76.21,300,,0.05,,,7,,,111,4.1,28,,,,12.5,4.3,50,,,,,,,,,,,,1,,,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Geonoma,camana,,,NY,"Bernal, R.",2043,Colombia,0.08,-0.13,74.53,-74.83,240,,0.3,,,8,,,85,,26,20,0.4,48,19,4,35,0,,,,46.5,3.7,1,,5.5,,,1,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,,,,,2,2,1,2,2,2,,
439,Geonoma,camana,,,COL,"Bernal, R.",2085,Colombia,0.1,-0.16,74.5,-74.83,240,,,,,,,,137,5.2,16,29,0.8,63,15,6,47,0,,,,,4.6,1,24.5,4.8,,,1,,,2,1,1,2,2,2,1,,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,,,,,2,2,1,2,2,2,,
439,Geonoma,camana,,,COL,"Bernal, R.",2547,Colombia,3.55,-3.91,70.09,-70.15,150,,,,,7,,,77.5,7,11,28,2.6,68,23,11.4,45,0,25.5,28.5,3,35.5,4.4,1,22.5,5.1,10.3,6.7,,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,,,,,2,2,1,2,2,2,,
275,Geonoma,camana,,,NY,"Borchsenius, F.",91438,Ecuador,2.56,-2.93,78.15,-78.25,850,,0.6,,,10,,,60,4.8,3,31.5,14.5,38,12.5,20,45,0,,,,,2.8,1,18.6,5.2,,,1,,,2,1,1,2,2,2,1,1,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,2,4,2,2,2,2,2,,,,,,,,
291,Geonoma,camana,,,MO,"Cerón, C. ",3280,Ecuador,0.52,-0.86,76.05,-76.08,230,0.8,,,,,,,56,2.8,28,,0.6,74,6.8,4.2,50,0,,,,,2.6,1,25.7,4.6,,,,,,2,1,1,2,2,2,1,,,,,,2,1,2,,2,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,
290,Geonoma,camana,,,MO,"Cerón, C. ",3379,Ecuador,0.52,-0.86,76.05,-76.08,230,1.5,,,,,,,91,,27,,,,12.5,2.8,60,0,,,,,3.2,1,20,4,8.7,7.3,,,,2,1,,2,2,2,1,,,,,,2,1,2,,2,1,1,2,1,1,2,2,,,,,,,,,2,2,1,2,2,2,,
289,Geonoma,camana,,,MO,"Cerón, C. ",5133,Ecuador,0.58,-0.96,75.41,-75.68,200,,,,,,,,94,5.1,25,,,,16,1.7,40,0,18.5,,,40.5,2.8,1,18,5.6,,,,,,2,1,1,2,2,2,1,,,,,,2,1,2,,2,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,
21,Geonoma,camana,,,NY,"Daly, D.",8792,Brazil,8.2,-8.33,71.11,-71.18,,2,,,,,,,,,3,,,,,,,0,,,,,3.7,1,21.5,4.9,,,,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,2,2,1,2,2,2,,
422,Geonoma,camana,,,NY,"Ferreira, E.",111,Brazil,7.36,-7.6,72.53,-72.88,,2,,,,,,,123,,25,,,,,,,0,,,,,,1,,,,,,,,2,1,1,2,2,2,1,,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,2,4,2,,,,,,,,,,,,
51,Geonoma,camana,,,NY,"Fleck, D.",776,Peru,5.17,-5.28,73.09,-73.15,150,,0.53,,,7,,,,,,,,,24.2,5.6,40,0,,,,21.6,3.6,1,18,4,,,1,,,,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,2,2,,,,,,,,
320,Geonoma,camana,,,AAU,"Galeano, G.",1305,Colombia,0.37,-0.63,72.15,-72.25,350,,0.3,,,8,50,75,115,7,10,41.5,4.7,49,33,23,35,0,14.5,28.5,1.5,44.5,3.6,1,18,6.2,,,1,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,,,,,,,,
36,Geonoma,camana,,,NY,"Galeano, G.",1564,Colombia,1.2,-1.33,71,-71,250,,0.65,,,8,,,102,,3,57,24,20,30,26.5,35,0,14.7,20,2.7,42,3.8,1,21.5,4.9,,,1,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,
55,Geonoma,camana,,,NY,"Galeano, G.",2079,Colombia,1.15,-1.25,69.5,-69.83,,,0.3,,,8,,,60,,11,,,,25,4.7,47,0,6.5,12,0.6,26.5,2.4,1,19,4.3,,,1,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,,,,,,,,
283,Geonoma,camana,,,MO,"Gentry, A.",42154,Peru,3.28,-3.46,72.5,-72.83,130,,,,,,,,,,,,,,,,,0,,,,,5.3,1,23.5,7.8,,,,,,,1,,2,2,2,1,,,,,,2,1,2,,2,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,
281,Geonoma,camana,,,MO,"Gentry, A.",55739,Peru,3.3,-3.5,73.02,-73.03,130,,,,,,,,119.5,6.8,26,,,,24.5,22,,0,,,,,4.7,1,24,6.1,,,,,,2,1,1,2,2,2,1,,,,,,2,1,2,,2,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,
296,Geonoma,camana,,,MO,"Gentry, A.",60832,Colombia,3.48,-3.8,70.18,-70.3,100,1.5,,,,,,,,,,,,,,,,0,,,,,4.1,1,27.5,5.2,,,,,,,1,,2,2,2,1,,,,,,2,1,2,,2,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,
11,Geonoma,camana,,,MO,"Gentry, A.",76827,Peru,13.21,-13.35,69.4,-69.66,320,,,,,,,,,,,,,,,,,0,,,,,4.3,1,25.5,6.3,,,,,,,1,1,2,2,2,1,,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,2,4,2,2,2,2,2,,,,,,,,
441,Geonoma,camana,,,COL,"Gruezmacher, M.",43,Colombia,3.49,-3.81,70.12,-70.2,87,,0.35,,,12,,,,9,19,38,2.7,36,26,16.5,49,0,,,,,5.4,1,28,7,,,1,,,2,1,1,2,2,2,1,,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,,,,,,,,,,,,
45,Geonoma,camana,,,NY,"Henderson, A.",843,Brazil,4.33,-4.55,70.4,-70.66,150,,0.3,,,8,,,,5.6,,25.5,1,46,29,31,42,0,,,2.4,46.5,4.4,1,24.5,6.9,,,1,,,,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,2,2,1,2,2,2,,
33,Geonoma,camana,,,NY,"Henderson, A.",863,Brazil,4.3,-4.5,71.45,-71.75,150,,0.5,,,12,,,76,,4,,,,28.5,20,33,0,,,4.4,35,4.3,1,,7.6,,,,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,,,,,,,,,,,,
48,Geonoma,camana,,,NY,"Henderson, A.",886,Brazil,4.24,-4.4,70.56,-70.93,150,,0.6,,,,,,,,,,,,26.5,4.5,38,0,,,,,4.3,1,,6,10.7,6.6,1,,,,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,2,2,1,2,2,2,1,1
40,Geonoma,camana,,,NY,"Henderson, A.",1106,Brazil,7.25,-7.41,73.38,-73.63,,,0.5,,,,,,120,,25,,,,,11.5,41,0,,,,,5.2,1,27.1,7.2,,,1,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,2,2,,,,,,,,
8,Geonoma,camana,,,NY,"Henderson, A.",1128,Brazil,7.35,-7.58,73.45,-73.75,,,,,,,,,,5.5,,30,1.5,57,21.7,4.3,38,0,0,,,,3.8,1,26,6.7,,,1,,,,1,1,2,2,2,1,,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,2,2,,,,,,,,
9,Geonoma,camana,,,NY,"Henderson, A.",1661,Brazil,8.2,-8.33,72.15,-72.25,,,0.36,,,13,6,79,77,4.6,3,49.2,17.3,27,,,,0,,,,,3.2,1,24,4.9,13.5,6.2,1,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,2,2,1,2,2,2,,
54,Geonoma,camana,,,NY,"Henderson, A.",1690,Brazil,7.25,-7.41,73.15,-73.25,,,1.2,,,8,20,120,120,,27,,,,27,16.3,50,0,,,,46,4.3,1,27.2,6.2,,,1,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,,,,,,,,
325,Geonoma,camana,,,AAU,"Holm-Nielsen, L.",21664,Ecuador,0.15,-0.25,75.55,-75.91,210,1.3,,,,,,,,,,,,,,,,0,,,,,3.4,1,,4.3,,,,,,,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,,,,,,,,
434,Geonoma,camana,,,NY,"Huaman, E.",24,Peru,12.45,-12.75,69.15,-69.25,225,,,,,,,,,7.9,,43,17,41,18,26.5,37,,,,,,,,,,,,,,,,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Geonoma,camana,,,NY,"Jangoux, J.",85076,Brazil,7.45,-7.75,73.2,-73.33,,,1.2,,,5,,,,,17,24,2,55,21.7,13.5,38,0,,,,,4.3,1,23.5,5.5,,,,,,2,1,1,2,2,2,1,,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,2,4,2,,,,,,,,,,,,
32,Geonoma,camana,,,NY,"Kahn, F.",1892,Peru,4.55,-4.91,73.4,-73.66,,2,,,,,30,95,90,6.1,7,36,4.9,59,36,27,34,0,,,,50,4.3,1,31.5,5.8,,,1,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,,,,,,,,,
47,Geonoma,camana,,,NY,"Kahn, F.",1893,Peru,4.55,-4.91,73.4,-73.66,,,0.4,,,,15,140,60,,5,,,,31.3,22,45,0,,,,60.5,5.2,1,31,7.1,,,,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,,,,,,,,
57,Geonoma,camana,,,NY,"Killip, E.",29621,Peru,4,-4,73.3,-73.5,110,,,,,,,,,,,,,,16.2,14.4,52,,,,,,,,,,11.6,7.2,,,,,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,,
285,Geonoma,camana,,,MO,"Palacios, W.",7683,Ecuador,0.29,-0.48,75.32,-75.53,230,,,,,,,,,,,,,,10,3,45,0,,,,,,1,,,,,,,,,1,,2,2,2,1,,,,,,2,1,2,,2,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,
37,Geonoma,camana,,,NY,"Pardini, R.",11,Brazil,6.28,-6.46,68.46,-68.76,,,,,,8,5,72,74,,10,,2,,18.2,8,50,0,,,,,3,1,19.5,5.2,,,1,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,,,,,,,,
34,Geonoma,camana,,,NY,"Pardini, R.",23,Brazil,6.28,-6.46,68.46,-68.76,,,1.3,,,14,10,66,55,,3,,,,21.5,25,31,0,,,2.3,88,5,1,26.7,8.3,,,1,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,,,,,,,,,
318,Geonoma,camana,,,AAU,"Pedersen, H.",104007,Ecuador,0.17,-0.28,76.49,-76.81,240,,0.17,,,8,34.5,34.5,82.5,3.5,26,21,0.5,76,8.5,3,51,0,4.5,13,,21.5,2.2,1,14,4,,,1,,,2,1,1,2,2,2,1,,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,2,4,2,,,,,,,,,,,,
52,Geonoma,camana,,,NY,"Pipoly, J.",12444,Peru,3.3,-3.5,72.5,-72.83,90,,,,,,,,,7.7,,29.5,2,40,23,22.7,51,0,,,,,4.6,1,36,6.2,,,,,,,1,1,2,2,2,1,,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,,,,,,,,
50,Geonoma,camana,,,NY,"Pipoly, J.",14144,Peru,3.2,-3.33,72.55,-72.91,120,2,,,,,,,,7.4,38,,1,50,,,,0,,,,,4.6,1,28.2,7,,,,,,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,2,2,,2,,,,,,,,
56,Geonoma,camana,,,NY,"Rodríguez, E. ",1136,Peru,4.55,-4.91,78.19,-78.31,480,,,,,,,,,5.6,2,,,,,,,0,,,,,3.6,1,,5.5,,,,,,2,1,1,2,2,2,1,1,,,,,2,1,2,2,2,1,1,2,1,1,2,2,2,,,,,,,,,,,,,,,
