"measurementID","measurementDeterminedBy","basisOfRecord","references"
765,"Huang Shan Xu","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
766,"W. Roxburgh","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
767,"H. Haines","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
768,"Jagarmani","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
769,"Jenkins","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
770,"C. Parkinson","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
771,"T. Chand","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
772,"P. Tixier","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
773,"Hamilton","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
774,"H. Mooney","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
775,"C. Peters","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
776,"Chua","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
777,"J. Harmand","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
778,"R. Parker","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
779,"F. Dickason","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
780,"illegible","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
781,"R. Worthington","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
782,"Siew Wei Hoe","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
783,"T. Smitinand","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
784,"Kiah bin Hj.","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
785,"J. Wyatt-Smith","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
786,"N. T. Hiep","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
787,"B. Balansa","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
788,"Guizhou Expedition","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
789,"S. K. Wu","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
790,"A. Pételot","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
791,"Qin Hao Fu","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
792,"W. Robertson","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
793,"Dao Yao Shan Exped.","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
794,"P. Taylor","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
795,"Main","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
796,"G. de Haan","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
797,"K. Sidiyasa","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
798,"I. Gushilman","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
799,"M. Callmander","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
800,"T. Bangun","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
801,"Anang","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
802,"M. Jebb","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
803,"A. Keim","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
804,"H. Wiriadina","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
805,"U. Mahyar","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
806,"W. Hoover","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
807,"A. Uchida","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
808,"Hallier","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
809,"Awa","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
810,"Yii","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
811,"N. Abas","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
812,"J. Purseglove","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
813,"Jugah ak. Kudi","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
814,"Runi","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
815,"H. Wiriadinata","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
816,"J. van Valkenburg","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
817,"B. Chee","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
818,"K. Mejia","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
819,"A. Gwee","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
820,"R. Gianno","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
821,"N. Sasidharan","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
822,"C. Reinwardt","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
823,"Asah ak Unyong","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
824,"Soe Myint Aye","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
825,"Ramadhanil","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
826,"J. Johansson","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
827,"A. Takhtajan","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
828,"W. Craddock","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
829,"Li Zexian","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
830,"R. C. Ching","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
831,"Xiang Kao team","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
832,"D. Soejarto","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
833,"Deng Liang","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
834,"L. Tang","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
835,"H. Y. Liang","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
836,"J. Kudi","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
837,"T. Simbayan","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
838,"T. Phillips","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
839,"J. Wen","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
840,"J. van Zijl de Jong","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
841,"G. Kjelberg","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
842,"D. Getto","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
843,"H. Tan","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
844,"E. Fernandez","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
845,"C. Ridsdale","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
846,"E. Bidault","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
847,"M. Kato","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
848,"McDonald","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
849,"P. Stevens","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
850,"Suzana, S.","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
851,"S. P. Lim","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
852,"D. Middleton","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
853,"Wiriadinata","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
854,"G. Pascual","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
855,"Rahim","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
856,"Sibat ak. Lu","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
857,"I. Turner","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
858,"Aban Gibot","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
859,"C. Hamel","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
860,"Postar","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
861,"A. Bøgh","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
862,"S. Darnton","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
863,"Ag. Nordin Hj. Abas","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
864,"M. Tamura","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
865,"Maikin, L.","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
866,"F. R. Muin Chai","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
867,"B. Kadir","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
868,"Puasa, A.","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
869,"Tungking Sambayan","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
870,"Castro","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
871,"H. Keith","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
872,"D. Daly","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
873,"J. Simaga","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
874,"S. Siebert","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
875,"A. Powling","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
876,"A. Hoornstra","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
877,"H. Reppie","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
878,"W. Bangham","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
879,"P. Katik","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
880,"S. Toppin","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
881,"J. Raynal","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
882,"C. Kalkman","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
883,"J. Veldkamp","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
884,"W. Kloss","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
885,"W. Milliken","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
886,"F. Rapparl","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
887,"M. Nurialev","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
888,"L. Clayton","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
889,"Elias Pa'ie","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
890,"D. Wood","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
891,"J. Beaman","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
892,"Julaihi","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
893,"B. Hock","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
894,"H. Balslev","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
895,"Simpson","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
896,"B. Perumal","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
897,"M. Vreeken-Buijs","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
898,"R. Barizan","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
899,"Rachmat","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
900,"Prawiroatmodjo","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
901,"Wai Yan Kyaw","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
902,"Paitoon Po-n","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
903,"N. Balakrishnan","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
904,"?","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
905,"A. Kuznetsnov","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
906,"P. Ratchada","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
907,"J. Lorzing","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
908,"J. Rahiria","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
909,"R. Banka","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
910,"B. Desianto","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
911,"Rao","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
912,"Sibat ak. Lua","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
913,"W. Wong","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
914,"Lee Ying Fa","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
915,"Kiah bin Hji Salleh","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
916,"J. Goodenough","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
917,"Tan Ah King","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
918,"B. Nath","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
919,"M. Bhaumik","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
920,"J. Joseph","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
921,"Boschproefst","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
922,"Gundersen","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
923,"Burn-Murdoch","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
924,"Rosdi, M.","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
925,"J. Jawa","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
926,"S. Mohidin","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
927,"KPD Markiras Rattan Corp","PreservedSpecimen","Henderson, A. (2020b). A revision of Calamus (Arecaceae, Calamoideae, Calameae, Calaminae). Phytotaxa, 445(1), 1-656."
